Sl.No,User,pre_boundary_created,pre_boundary_mod,pre_boundary_del,primary_boundary_created,primary_boundary_mod,primary_boundary_del,pre_sch_created,pre_sch_mod,pre_sch_del,primary_sch_created,primary_sch_mod,primary_sch_del,pre_stud_created,pre_stud_mod,pre_stud_del,primary_stud_created,primary_stud_mod,primary_stud_del,pre_teacher_created,pre_teacher_mod,pre_teacher_del,primary_teacher_created,primary_teacher_mod,primary_teacher_del,Assess Id,Reading-Class 4 Posttest Num Of correct Entries,Reading-Class 4 Posttest Num Of incorrect Entries,Reading-Class 4 Posttest Num Of verified Entries,Reading-Class 4 Posttest Num Of rectified Entries,Assess Id,Akshara English -Class 2 Pretest Num Of correct Entries,Akshara English -Class 2 Pretest Num Of incorrect Entries,Akshara English -Class 2 Pretest Num Of verified Entries,Akshara English -Class 2 Pretest Num Of rectified Entries,Assess Id,Akshara English -Class 3 Pretest Num Of correct Entries,Akshara English -Class 3 Pretest Num Of incorrect Entries,Akshara English -Class 3 Pretest Num Of verified Entries,Akshara English -Class 3 Pretest Num Of rectified Entries,Assess Id,Akshara English -Class 4 Pretest Num Of correct Entries,Akshara English -Class 4 Pretest Num Of incorrect Entries,Akshara English -Class 4 Pretest Num Of verified Entries,Akshara English -Class 4 Pretest Num Of rectified Entries,Assess Id,Anganwadi-Pretest (2.5-4.5) Num Of correct Entries,Anganwadi-Pretest (2.5-4.5) Num Of incorrect Entries,Anganwadi-Pretest (2.5-4.5) Num Of verified Entries,Anganwadi-Pretest (2.5-4.5) Num Of rectified Entries,Assess Id,Anganwadi-Pretest (4.5-above) Num Of correct Entries,Anganwadi-Pretest (4.5-above) Num Of incorrect Entries,Anganwadi-Pretest (4.5-above) Num Of verified Entries,Anganwadi-Pretest (4.5-above) Num Of rectified Entries
1,ak10kop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0,190,0,0,0,0,191,0,0,0,0
2,ak1dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0,190,0,0,0,0,191,0,0,0,0
3,ak1gdg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,152,0,0,0,0,0,0,0,192,0,0,0,0,187,1984,0,0,0,188,2675,0,0,0,189,1909,0,0,0,190,0,0,0,0,191,0,0,0,0
4,ak1kop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,192,1276,4,608,1,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0,190,0,0,0,0,191,0,0,0,0
5,ak2dwd,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0,190,0,0,0,0,191,0,0,0,0
6,ak2gdg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,192,0,0,0,0,187,2048,0,0,0,188,2975,0,0,0,189,2530,0,0,0,190,0,0,0,0,191,0,0,0,0
7,ak2kop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,0,0,0,0,0,0,0,192,1965,95,5,1,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0,190,0,0,0,0,191,0,0,0,0
8,ak3dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0,190,245,0,414,4,191,120,0,478,2
9,ak3gdg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,192,0,0,0,0,187,1373,0,0,0,188,2159,0,0,0,189,1288,0,0,0,190,0,0,0,0,191,0,0,0,0
10,ak3kop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,192,2028,87,0,0,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0,190,0,0,0,0,191,0,0,0,0
11,ak4dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0,190,1078,0,22,0,191,1470,36,87,3
12,ak4kop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,192,325,2,4780,186,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0,190,0,0,0,0,191,0,0,0,0
13,ak5dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0,190,0,0,4043,71,191,0,0,3163,48
14,ak6dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0,190,0,0,0,0,191,0,0,30,0
15,ak6gdg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,187,128,0,0,0,188,100,0,0,0,189,0,0,0,0,190,0,0,0,0,191,0,0,0,0
16,ak6kop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0,190,0,0,0,0,191,0,0,0,0
17,ak7dwd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0,190,66,0,5110,81,191,60,3,3981,45
18,gayathri,0,0,0,0,0,0,0,0,0,0,0,0,719,719,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0,190,16081,213,21288,137,191,8760,178,7359,21
19,mohsina,0,0,0,0,0,0,0,0,0,0,0,0,845,845,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0,190,20405,136,21461,253,191,7465,23,17005,155
20,munirathna,0,0,0,0,0,0,0,0,0,0,0,0,1038,1038,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0,190,19441,238,17799,37,191,15103,144,11840,10
21,nalini,0,0,0,0,0,0,0,0,0,0,0,0,683,683,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0,190,15067,32,16031,30,191,10416,6,4969,11
22,roopa,0,0,0,0,0,0,0,0,0,0,0,0,393,393,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0,190,14731,32,17436,214,191,4860,10,8759,178
23,sunitha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,187,0,0,0,0,188,0,0,0,0,189,0,0,0,0,190,0,0,0,0,191,0,0,0,0
